cells	samples	cell.types
cy80_CD45_neg_E09_S441_comb	Mel80	T.CD8
cy80_CD_90_pos_C05_S893_comb	Mel80	CAF
cy60_1_cd_45_pos_4_E08_S56_comb	Mel60	T.cell
CY94CD45POS_1_C03_S123_comb	Mel94	B.cell
cy80_Cd45_pos_Pd1_neg_S342_G06_S342_comb	Mel80	B.cell
CY88CD45_150813_D09_S333_comb	Mel88	B.cell
CY89A_CD45_POS_6_F01_S157_comb	Mel89	NK
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A12_S12_comb	Mel79	?
cy80_Cd45_pos_Pd1_neg_S369_H09_S369_comb	Mel80	B.cell
CY84_PRIM_POS_ALL_7_F12_S264_comb	Mel84	Macrophage
CY84_PRIM_POS_ALL_7_F02_S254_comb	Mel84	Mal
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B05_S977_comb	Mel60	B.cell
cy94_cd45neg_cd90pos_F11_S359_comb	Mel94	CAF
cy79_p3_CD45_pos_PD1_neg_F01_S157_comb	Mel79	B.cell
cy80_CD45_neg_D01_S421_comb	Mel80	?
CY89A_Core_15_G02_S74_comb	Mel89	B.cell
Cy72_CD45_C10_S706_comb	Mel72	?
CY88CD45_150813_C11_S323_comb	Mel88	?
cy53_1_CD45_neg_B11_S311_comb	Mel53	Endo.
cy79_p3_CD45_pos_PD1_neg_B12_S120_comb	Mel79	B.cell
CY94CD45POS_1_G10_S178_comb	Mel94	B.cell
cy80_CD45_pos_PD1_pos_B08_S116_comb	Mel80	B.cell
CY94CD45POS_1_A05_S101_comb	Mel94	B.cell
cy53_1_CD45_neg_D07_S331_comb	Mel53	CAF
cy88_cd_45_pos_F06_S450_comb	Mel88	B.cell
cy82_CD45_pos_2_H04_S568_comb	Mel82	Macrophage
cy88_cd45pos_5_E04_S244_comb	Mel88	T.CD8
CY89COREQ1_E06_S342_comb	Mel89	B.cell
cy88_cd45pos_5_D01_S229_comb	Mel88	Macrophage
cy88_cd45pos_5_D02_S230_comb	Mel88	B.cell
cy79_p3_CD45_pos_PD1_neg_C07_S127_comb	Mel79	B.cell
CY89A_Core_15_A05_S5_comb	Mel89	B.cell
CY89COREQ1_C12_S324_comb	Mel89	B.cell
Cy81_Bulk_CD45_B08_S116_comb	Mel81	CAF
CY89COREQ1_E10_S346_comb	Mel89	?
cy80_CD45_neg_C10_S898_comb	Mel80	B.cell
cy53_1_CD45_pos_1_A02_S2_comb	Mel53	NK
cy58_1_CD45_pos_C04_S604_comb	Mel58	NK
cy53_1_CD45_neg_H07_S379_comb	Mel53	Endo.
Cy81_FNA_CD45_H05_S281_comb	Mel81	B.cell
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B11_S503_comb	Mel79	B.cell
cy82_CD45_pos_2_C04_S508_comb	Mel82	Macrophage
cy82_CD45_pos_1_F01_S541_comb	Mel82	B.cell
cy53_1_CD45_pos_2_H12_S1056_comb	Mel53	Macrophage
Cy72_CD45_A06_S678_comb	Mel72	?
Cy72_CD45_F10_S742_comb	Mel72	B.cell
CY94CD45POS_1_E07_S151_comb	Mel94	B.cell
cy60_1_cd_45_pos_4_C09_S33_comb	Mel60	B.cell
cy80_CD_90_pos_B02_S878_comb	Mel80	CAF
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G08_S560_comb	Mel79	B.cell
CY88CD45_150813_G11_S371_comb	Mel88	Macrophage
CY89COREQ1_B10_S310_comb	Mel89	B.cell
cy60_1_cd_45_pos_4_H06_S90_comb	Mel60	B.cell
CY84_PRIM_POS_ALL_8_D04_S136_comb	Mel84	Macrophage
CY88CD45POS_2_F01_S445_comb	Mel88	T.CD4
Cy80_II_CD45_C12_S900_comb	Mel80	Endo.
Cy74_CD45_A02_S386_comb	Mel74	?
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H08_S1052_comb	Mel60	?
cy80_Cd45_pos_PD1_pos_D01_S85_comb	Mel80	T.CD4
cy58_1_CD45_pos_B03_S591_comb	Mel58	T.cell
cy82_CD45_pos_1_D06_S522_comb	Mel82	?
cy81_Bulk_CD45_neg_G02_S170_comb	Mel81	Mal
cy80_CD45_neg_A04_S868_comb	Mel80	Endo.
CY89A_CD45_POS_6_C04_S124_comb	Mel89	B.cell
cy58_1_CD45_pos_A09_S585_comb	Mel58	Macrophage
CY89A_Core_15_E11_S59_comb	Mel89	B.cell
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C05_S989_comb	Mel60	B.cell
CY88CD45_150813_A01_S289_comb	Mel88	?
cy60_1_cd_45_pos_3_E11_S347_comb	Mel60	Macrophage
cy60_1_cd_45_pos_4_C11_S35_comb	Mel60	NK
CY58_1_CD45_H08_S1052_comb	Mel58	?
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H03_S1047_comb	Mel60	B.cell
cy60_1_cd_45_pos_4_E03_S51_comb	Mel60	B.cell
CY58_1_CD45_F08_S1028_comb	Mel58	NK
cy80_CD45_neg_E02_S434_comb	Mel80	?
CY89FNAQ2_A03_S387_comb	Mel89	Mal
cy58_1_CD45_pos_G11_S659_comb	Mel58	NK
CY89A_CD45_POS_6_D09_S141_comb	Mel89	T.CD4
cy79_p3_CD45_pos_PD1_neg_A05_S101_comb	Mel79	B.cell
CY88_3_E09_S633_comb	Mel88	Mal
Cy72_CD45_A03_S675_comb	Mel72	B.cell
cy80_Cd45_pos_Pd1_neg_S267_D03_S267_comb	Mel80	B.cell
CY89COREQ1_G11_S371_comb	Mel89	B.cell
Cy72_CD45_C03_S699_comb	Mel72	B.cell
cy80_CD45_neg_C08_S896_comb	Mel80	?
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D10_S526_comb	Mel79	B.cell
Cy81_FNA_CD45_G11_S275_comb	Mel81	B.cell
cy94_cd45neg_cd90pos_E10_S346_comb	Mel94	?
cy94_cd45pos_4_G06_S78_comb	Mel94	B.cell
cy94_cd45neg_cd90pos_F08_S356_comb	Mel94	?
cy84_Met_CD45_pos_H09_S957_comb	Mel84	Macrophage
cy78_CD45_neg_2_B11_S599_comb	Mel78	Mal
Cy72_CD45_C06_S702_comb	Mel72	B.cell
cy53_1_CD45_neg_G06_S366_comb	Mel53	NK
cy82_CD45_pos_3_H01_S85_comb	Mel82	?
Cy71_CD45_B04_S496_comb	Mel71	Mal
Cy74_CD45_F10_S454_comb	Mel74	B.cell
cy88_cd45pos_5_B01_S205_comb	Mel88	Macrophage
cy84_Primary_CD45_pos_A10_S394_comb	Mel84	B.cell
Cy81_Bulk_CD45_E11_S155_comb	Mel81	?
cy60_1_cd_45_pos_4_A03_S3_comb	Mel60	B.cell
cy78_CD45_neg_3_A06_S678_comb	Mel78	Mal
CY94CD45POS_1_C05_S125_comb	Mel94	B.cell
CY89A_Core_15_B09_S21_comb	Mel89	B.cell
CY89COREQ1_B08_S308_comb	Mel89	B.cell
cy82_CD45_pos_3_A07_S7_comb	Mel82	NK
CY89CORE11_E07_S151_comb	Mel89	Mal
cy79_p5_CD45_neg_PDL1_pos_A05_S677_comb	Mel79	Mal
Cy80_II_CD45_G10_S946_comb	Mel80	Endo.
CY89NEG_D04_S40_comb	Mel89	Mal
cy79_p3_CD45_neg_PDL1_neg_G02_S266_comb	Mel79	Endo.
Cy80_II_CD45_F08_S932_comb	Mel80	Endo.
CY89A_Core_15_D11_S47_comb	Mel89	B.cell
cy53_1_CD45_pos_1_A08_S8_comb	Mel53	NK
CY89COREQ1_G07_S367_comb	Mel89	B.cell
cy80_Cd45_pos_Pd1_neg_S289_E01_S289_comb	Mel80	B.cell
CY88CD45_150813_E09_S345_comb	Mel88	Macrophage
CY89FNA_A10_S202_comb	Mel89	B.cell
cy72_CD45_pos_G09_S945_comb	Mel72	B.cell
cy80_CD_90_pos_G06_S942_comb	Mel80	CAF
Cy72_CD45_F04_S736_comb	Mel72	B.cell
cy79_p3_CD45_pos_PD1_neg_G10_S178_comb	Mel79	B.cell
cy94_cd45pos_G04_S172_comb	Mel94	B.cell
cy53_1_CD45_pos_2_C12_S996_comb	Mel53	Macrophage
cy79_p3_CD45_pos_PD1_neg_E05_S149_comb	Mel79	B.cell
cy60_1_cd_45_pos_3_F07_S355_comb	Mel60	B.cell
cy53_1_CD45_pos_2_C10_S994_comb	Mel53	Macrophage
CY89FNA_E03_S243_comb	Mel89	Macrophage
cy60_1_cd_45_pos_4_D08_S44_comb	Mel60	B.cell
cy94_cd45pos_G05_S173_comb	Mel94	B.cell
cy94_cd45neg_cd90pos_G02_S362_comb	Mel94	?
cy60_1_cd_45_pos_4_G04_S76_comb	Mel60	B.cell
cy79_p4_CD45_neg_PDL1_neg_B07_S1075_comb	Mel79	Mal
cy79_p3_CD45_neg_PDL1_neg_G06_S270_comb	Mel79	Mal
cy94_cd45neg_cd90pos_H01_S373_comb	Mel94	?
cy79_p3_CD45_neg_PDL1_neg_H06_S282_comb	Mel79	Mal
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E09_S537_comb	Mel79	B.cell
cy80_cd_90_neg_C03_S123_comb	Mel80	?
cy72_CD45_pos_D02_S902_comb	Mel72	B.cell
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A09_S9_comb	Mel79	Mal
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G05_S1037_comb	Mel60	B.cell
CY88CD45_150813_G06_S366_comb	Mel88	Macrophage
cy60_1_cd_45_pos_3_A06_S294_comb	Mel60	B.cell
CY88CD45POS_2_B09_S405_comb	Mel88	B.cell
CY89A_CD45_POS_10_B06_S210_comb	Mel89	B.cell
CY89FNA_C09_S225_comb	Mel89	B.cell
cy84_Primary_CD45_pos_C07_S415_comb	Mel84	NK
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C06_S510_comb	Mel79	B.cell
CY84_PRIM_POS_ALL_6_C05_S413_comb	Mel84	Macrophage
cy60_1_cd_45_pos_3_G07_S367_comb	Mel60	T.cell
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H02_S1046_comb	Mel60	B.cell
cy78_CD45_neg_3_G01_S745_comb	Mel78	CAF
cy82_CD45_pos_3_B12_S24_comb	Mel82	Macrophage
cy94_cd45neg_cd90pos_D03_S327_comb	Mel94	Endo.
cy80_Cd45_pos_Pd1_neg_S343_G07_S343_comb	Mel80	B.cell
CY88CD45POS_2_D02_S422_comb	Mel88	T.CD4
cy79_p4_CD45_neg_PDL1_pos_B08_S404_comb	Mel79	Mal
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C04_S508_comb	Mel79	B.cell
CY84_PRIM_POS_ALL_6_C10_S418_comb	Mel84	Macrophage
cy60_1_cd_45_pos_3_H06_S378_comb	Mel60	B.cell
cy80_CD_90_pos_E03_S915_comb	Mel80	?
Cy71_CD45_F02_S542_comb	Mel71	Mal
cy79_p3_CD45_pos_PD1_neg_B11_S119_comb	Mel79	B.cell
cy79_p3_CD45_pos_PD1_neg_A09_S105_comb	Mel79	B.cell
CY88CD45POS_7_B01_S205_comb	Mel88	?
CY89A_Core_15_D01_S37_comb	Mel89	?
CY89COREQ1_D04_S328_comb	Mel89	Macrophage
CY94CD45POS_1_E09_S153_comb	Mel94	B.cell
CY58_1_CD45_C05_S989_comb	Mel58	?
cy80_CD45_pos_PD1_pos_A04_S100_comb	Mel80	B.cell
cy80_Cd45_pos_Pd1_neg_S271_D07_S271_comb	Mel80	B.cell
cy80_Cd45_pos_Pd1_neg_S273_D09_S273_comb	Mel80	B.cell
cy72_CD45_pos_H08_S956_comb	Mel72	NK
CY88_5_H12_S768_comb	Mel88	Mal
Cy72_CD45_G11_S755_comb	Mel72	B.cell
cy94_cd45pos_G01_S169_comb	Mel94	B.cell
cy94_cd45pos_4_G10_S82_comb	Mel94	Macrophage
cy94_cd45pos_H01_S181_comb	Mel94	B.cell
cy60_1_cd_45_pos_4_B06_S18_comb	Mel60	NK
cy53_1_CD45_neg_F09_S357_comb	Mel53	CAF
CY88CD45_150813_E05_S341_comb	Mel88	B.cell
cy80_Cd45_pos_Pd1_neg_S269_D05_S269_comb	Mel80	B.cell
cy60_1_cd_45_pos_4_H08_S92_comb	Mel60	B.cell
cy79_p3_CD45_pos_PD1_neg_G02_S170_comb	Mel79	B.cell
cy94_cd45pos_A03_S99_comb	Mel94	T.CD8
cy84_Primary_CD45_pos_G09_S465_comb	Mel84	B.cell
CY89COREQ1_E07_S343_comb	Mel89	B.cell
cy80_Cd45_pos_Pd1_neg_S365_H05_S365_comb	Mel80	T.cell
CY84_PRIM_POS_ALL_8_H07_S187_comb	Mel84	Macrophage
CY88CD45_150813_A12_S300_comb	Mel88	?
cy84_Primary_CD45_pos_H01_S469_comb	Mel84	B.cell
CY94CD45POS_1_C02_S122_comb	Mel94	B.cell
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G10_S562_comb	Mel79	B.cell
cy80_CD_90_pos_D03_S903_comb	Mel80	CAF
cy53_1_CD45_pos_2_G09_S1041_comb	Mel53	NK
CY88CD45POS_2_D04_S424_comb	Mel88	Macrophage
cy94_cd45neg_cd90pos_D07_S331_comb	Mel94	?
cy53_1_CD45_pos_1_E01_S49_comb	Mel53	Macrophage
CY89CORE11_G06_S174_comb	Mel89	?
CY89A_CD45_POS_6_A02_S98_comb	Mel89	B.cell
cy94_cd45neg_cd90pos_C11_S323_comb	Mel94	?
CY89COREQ1_B06_S306_comb	Mel89	B.cell
cy84_Met_CD45_pos_B04_S880_comb	Mel84	T.CD8
cy79_p3_CD45_neg_PDL1_neg_E11_S251_comb	Mel79	Mal
CY58_1_CD45_B10_S982_comb	Mel58	?
CY84_PRIM_POS_ALL_6_G08_S464_comb	Mel84	Macrophage
cy94_cd45pos_4_D04_S40_comb	Mel94	B.cell
cy60_1_cd_45_pos_3_A10_S298_comb	Mel60	B.cell
CY89FNA_H07_S283_comb	Mel89	?
CY88_5_E01_S721_comb	Mel88	Mal
cy79_p3_CD45_pos_PD1_neg_G03_S171_comb	Mel79	B.cell
cy72_CD45_pos_D09_S909_comb	Mel72	Macrophage
cy72_CD45_pos_B01_S877_comb	Mel72	B.cell
cy80_Cd45_pos_Pd1_neg_S341_G05_S341_comb	Mel80	B.cell
cy74_CD45_pos_A08_S680_comb	Mel74	B.cell
cy60_1_cd_45_pos_3_D04_S328_comb	Mel60	B.cell
cy79_p3_CD45_pos_PD1_neg_G09_S177_comb	Mel79	B.cell
CY88CD45_150813_C01_S313_comb	Mel88	?
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C09_S993_comb	Mel60	B.cell
CY89COREQ1_H01_S373_comb	Mel89	B.cell
cy72_CD45_pos_E10_S922_comb	Mel72	B.cell
CY88CD45POS_7_F02_S254_comb	Mel88	B.cell
CY89NEG_B06_S18_comb	Mel89	CAF
cy80_Cd45_pos_Pd1_neg_S200_A08_S200_comb	Mel80	B.cell
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H11_S1055_comb	Mel60	B.cell
CY58_1_CD45_A05_S965_comb	Mel58	T.cell
CY84_PRIM_POS_ALL_7_H06_S282_comb	Mel84	Macrophage
cy84_Primary_CD45_pos_A11_S395_comb	Mel84	B.cell
cy60_1_cd_45_pos_3_D09_S333_comb	Mel60	T.CD4
cy80_cd_90_neg_G12_S180_comb	Mel80	?
cy81_Bulk_CD45_neg_E03_S147_comb	Mel81	Endo.
cy53_1_CD45_neg_B05_S305_comb	Mel53	?
Cy81_FNA_CD45_C01_S217_comb	Mel81	?
cy79_p5_CD45_neg_PDL1_pos_B03_S687_comb	Mel79	Mal
CY89A_CD45_POS_6_H09_S189_comb	Mel89	B.cell
cy74_CD45_pos_G10_S754_comb	Mel74	Macrophage
cy72_CD45_pos_F02_S926_comb	Mel72	B.cell
Cy81_FNA_CD45_D01_S229_comb	Mel81	?
cy94_cd45neg_cd90pos_B03_S303_comb	Mel94	B.cell
CY94CD45POS_1_E06_S150_comb	Mel94	B.cell
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F08_S1028_comb	Mel60	Macrophage
cy53_1_CD45_pos_1_A03_S3_comb	Mel53	Macrophage
cy79_p3_CD45_pos_PD1_neg_G06_S174_comb	Mel79	B.cell
cy80_CD_90_pos_B06_S882_comb	Mel80	CAF
cy94_cd45pos_4_H01_S85_comb	Mel94	Macrophage
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B03_S975_comb	Mel60	B.cell
cy94_cd45neg_cd90pos_H08_S380_comb	Mel94	CAF
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E09_S57_comb	Mel79	Mal
cy80_CD45_neg_A06_S390_comb	Mel80	?
cy53_1_CD45_neg_B04_S304_comb	Mel53	CAF
CY84_PRIM_POS_ALL_8_G07_S175_comb	Mel84	?
cy94_cd45pos_4_B12_S24_comb	Mel94	B.cell
cy79_p5_CD45_neg_PDL1_neg_F04_S832_comb	Mel79	Mal
cy94_cd45neg_cd90pos_F02_S350_comb	Mel94	Endo.
Cy74_CD45_A06_S390_comb	Mel74	Macrophage
cy84_Primary_CD45_pos_D01_S421_comb	Mel84	B.cell
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C04_S988_comb	Mel60	B.cell
cy88_cd_45_pos_F02_S446_comb	Mel88	NK
cy82_CD45_neg_1_D01_S229_comb	Mel82	Mal
cy80_Cd45_pos_Pd1_neg_S346_G10_S346_comb	Mel80	B.cell
Cy71_CD45_H12_S672_comb	Mel71	Mal
cy94_cd45pos_D10_S142_comb	Mel94	B.cell
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B02_S974_comb	Mel60	B.cell
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G08_S1040_comb	Mel60	B.cell
cy80_Cd45_pos_Pd1_neg_S252_C12_S252_comb	Mel80	B.cell
CY89A_CD45_POS_6_A05_S101_comb	Mel89	Macrophage
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F05_S1025_comb	Mel60	B.cell
cy94_cd45pos_4_E09_S57_comb	Mel94	B.cell
cy60_1_cd_45_pos_3_G08_S368_comb	Mel60	B.cell
Cy81_Bulk_CD45_E07_S151_comb	Mel81	?
cy60_1_cd_45_pos_4_C08_S32_comb	Mel60	Macrophage
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H07_S571_comb	Mel79	B.cell
cy74_CD45_pos_G04_S748_comb	Mel74	B.cell
cy74_CD45_pos_B10_S694_comb	Mel74	T.CD8
Cy81_Bulk_CD45_F07_S163_comb	Mel81	Mal
cy72_CD45_pos_D04_S904_comb	Mel72	B.cell
cy94_cd45pos_H07_S187_comb	Mel94	B.cell
Cy72_CD45_D06_S714_comb	Mel72	?
cy82_CD45_pos_3_B08_S20_comb	Mel82	NK
CY58_1_CD45_G12_S1044_comb	Mel58	?
CY89A_CD45_POS_6_A06_S102_comb	Mel89	B.cell
Cy74_CD45_C07_S415_comb	Mel74	Macrophage
cy94_cd45pos_B10_S118_comb	Mel94	B.cell
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B04_S976_comb	Mel60	T.cell
cy60_1_cd_45_pos_4_G11_S83_comb	Mel60	B.cell
cy94_cd45pos_4_C07_S31_comb	Mel94	T.CD4
cy60_1_cd_45_pos_3_A07_S295_comb	Mel60	NK
cy72_CD45_pos_G01_S937_comb	Mel72	B.cell
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D03_S519_comb	Mel79	B.cell
CY89A_CD45_POS_10_E06_S246_comb	Mel89	Macrophage
Cy72_CD45_G08_S752_comb	Mel72	B.cell
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D07_S523_comb	Mel79	B.cell
cy80_Cd45_pos_Pd1_neg_S292_E04_S292_comb	Mel80	B.cell
cy84_Met_CD45_pos_A02_S866_comb	Mel84	B.cell
cy80_Cd45_pos_Pd1_neg_S199_A07_S199_comb	Mel80	B.cell
Cy81_Bulk_CD45_C07_S127_comb	Mel81	?
Cy72_CD45_D02_S710_comb	Mel72	B.cell
cy94_cd45pos_D03_S135_comb	Mel94	B.cell
cy60_1_cd_45_pos_4_C07_S31_comb	Mel60	NK
CY89A_Core_15_E06_S54_comb	Mel89	B.cell
cy53_1_CD45_pos_2_A11_S971_comb	Mel53	Macrophage
CY89A_Core_15_B08_S20_comb	Mel89	B.cell
cy94_cd45neg_cd90pos_F10_S358_comb	Mel94	CAF
CY89A_CD45_POS_6_H10_S190_comb	Mel89	Macrophage
CY88CD45_150813_C07_S319_comb	Mel88	B.cell
cy94_cd45neg_cd90pos_A08_S296_comb	Mel94	CAF
cy72_CD45_pos_D12_S912_comb	Mel72	B.cell
CY89A_CD45_POS_6_G12_S180_comb	Mel89	B.cell
cy60_1_cd_45_pos_4_G09_S81_comb	Mel60	B.cell
cy94_cd45pos_G07_S175_comb	Mel94	Macrophage
cy58_1_CD45_pos_C05_S605_comb	Mel58	B.cell
CY89A_Core_15_G09_S81_comb	Mel89	Macrophage
CY58_1_CD45_A11_S971_comb	Mel58	?
cy94_cd45pos_4_C08_S32_comb	Mel94	B.cell
CY88CD45POS_2_H08_S476_comb	Mel88	T.cell
Cy81_Bulk_CD45_F08_S164_comb	Mel81	?
Cy80_II_CD45_C03_S891_comb	Mel80	Endo.
cy82_CD45_neg_3_D03_S807_comb	Mel82	Mal
cy60_1_cd_45_neg_1_D12_S240_comb	Mel60	Mal
cy94_cd45pos_4_E03_S51_comb	Mel94	T.cell
CY94CD45POS_1_H12_S192_comb	Mel94	T.cell
CY84_PRIM_POS_ALL_7_A12_S204_comb	Mel84	?
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C10_S514_comb	Mel79	B.cell
cy80_CD45_neg_E01_S433_comb	Mel80	?
cy80_CD_90_pos_E05_S917_comb	Mel80	CAF
cy94_cd45pos_D11_S143_comb	Mel94	B.cell
CY84_PRIM_POS_ALL_6_A11_S395_comb	Mel84	Macrophage
CY89A_Core_15_F06_S66_comb	Mel89	B.cell
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B11_S983_comb	Mel60	B.cell
Cy72_CD45_E09_S729_comb	Mel72	B.cell
cy72_CD45_pos_G04_S940_comb	Mel72	B.cell
CY88CD45POS_2_G11_S467_comb	Mel88	T.cell
cy72_CD45_pos_E02_S914_comb	Mel72	B.cell
cy78_CD45_neg_3_G05_S749_comb	Mel78	?
cy79_p3_CD45_pos_PD1_neg_C10_S130_comb	Mel79	B.cell
Cy72_CD45_B03_S687_comb	Mel72	?
CY88CD45_150813_H04_S376_comb	Mel88	?
cy84_Met_CD45_pos_F10_S934_comb	Mel84	T.CD8
cy60_1_cd_45_pos_3_D02_S326_comb	Mel60	B.cell
cy79_p3_CD45_pos_PD1_neg_F08_S164_comb	Mel79	B.cell
CY94CD45POS_1_C06_S126_comb	Mel94	B.cell
CY88CD45POS_2_H10_S478_comb	Mel88	T.cell
cy88_cd_45_pos_F05_S449_comb	Mel88	T.cell
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B10_S502_comb	Mel79	B.cell
Cy81_Bulk_CD45_E09_S153_comb	Mel81	CAF
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G02_S1034_comb	Mel60	Macrophage
Cy81_FNA_CD45_F12_S264_comb	Mel81	B.cell
cy88_cd_45_pos_3_F05_S641_comb	Mel88	NK
Cy80_II_CD45_A04_S868_comb	Mel80	?
cy94_cd45pos_F11_S167_comb	Mel94	B.cell
cy53_1_CD45_pos_2_D09_S1005_comb	Mel53	Macrophage
CY84_PRIM_POS_ALL_7_F11_S263_comb	Mel84	Endo.
CY89A_CD45_POS_6_F07_S163_comb	Mel89	B.cell
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C08_S512_comb	Mel79	B.cell
CY94CD45POS_1_A10_S106_comb	Mel94	B.cell
CY89A_CD45_POS_6_D01_S133_comb	Mel89	B.cell
cy84_Primary_CD45_pos_D02_S422_comb	Mel84	B.cell
CY88CD45_150813_C06_S318_comb	Mel88	CAF
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E05_S533_comb	Mel79	B.cell
CY89A_CD45_POS_6_C12_S132_comb	Mel89	B.cell
cy84_Primary_CD45_pos_A03_S387_comb	Mel84	B.cell
CY89A_CD45_POS_6_D08_S140_comb	Mel89	B.cell
cy84_Primary_CD45_pos_C09_S417_comb	Mel84	B.cell
CY94CD45POS_1_E05_S149_comb	Mel94	B.cell
CY88CD45POS_7_F03_S255_comb	Mel88	T.CD8
cy80_CD45_neg_H01_S469_comb	Mel80	?
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G11_S563_comb	Mel79	B.cell
cy82_CD45_pos_3_G11_S83_comb	Mel82	T.cell
cy88_cd_45_pos_D01_S421_comb	Mel88	NK
Cy72_CD45_F01_S733_comb	Mel72	?
CY94CD45POS_1_F12_S168_comb	Mel94	B.cell
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E02_S1010_comb	Mel60	B.cell
Cy74_CD45_B02_S398_comb	Mel74	B.cell
cy94_cd45pos_H08_S188_comb	Mel94	T.CD8
CY84_PRIM_POS_ALL_6_H12_S480_comb	Mel84	Mal
cy53_1_CD45_pos_2_H09_S1053_comb	Mel53	T.CD8
CY89A_Core_15_A04_S4_comb	Mel89	B.cell
cy94_cd45pos_4_G12_S84_comb	Mel94	T.CD4
cy60_1_cd_45_pos_3_B02_S302_comb	Mel60	T.cell
CY88CD45_150813_G08_S368_comb	Mel88	?
cy84_Primary_CD45_pos_B05_S401_comb	Mel84	B.cell
CY94CD45POS_1_F09_S165_comb	Mel94	B.cell
cy79_p3_CD45_neg_PDL1_neg_G08_S272_comb	Mel79	Mal
cy84_Primary_CD45_pos_E10_S442_comb	Mel84	B.cell
cy80_Cd45_pos_Pd1_neg_S372_H12_S372_comb	Mel80	B.cell
CY94CD45POS_1_H04_S184_comb	Mel94	B.cell
CY88CD45POS_2_H09_S477_comb	Mel88	Macrophage
cy94_cd45neg_cd90pos_E04_S340_comb	Mel94	B.cell
CY94CD45POS_1_H06_S186_comb	Mel94	B.cell
CY89A_CD45_POS_10_A03_S195_comb	Mel89	Macrophage
CY58_1_CD45_C12_S996_comb	Mel58	?
cy53_1_CD45_neg_E03_S339_comb	Mel53	Endo.
cy94_cd45pos_4_G03_S75_comb	Mel94	B.cell
CY94CD45POS_1_G05_S173_comb	Mel94	B.cell
CY89A_Core_15_C03_S27_comb	Mel89	B.cell
cy82_CD45_neg_3_C08_S800_comb	Mel82	CAF
cy53_1_CD45_pos_2_D10_S1006_comb	Mel53	Macrophage
cy79_p3_CD45_pos_PD1_neg_E10_S154_comb	Mel79	B.cell
cy53_1_CD45_pos_1_B02_S14_comb	Mel53	T.cell
CY94CD45POS_1_E10_S154_comb	Mel94	B.cell
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A08_S968_comb	Mel60	B.cell
CY94CD45POS_1_A04_S100_comb	Mel94	B.cell
cy78_CD45_neg_1_H12_S576_comb	Mel78	Mal
CY88CD45_150813_B11_S311_comb	Mel88	B.cell
CY94CD45POS_1_D06_S138_comb	Mel94	B.cell
CY88CD45_150813_F05_S353_comb	Mel88	?
Cy72_CD45_H01_S757_comb	Mel72	?
cy60_1_cd_45_pos_4_H12_S96_comb	Mel60	B.cell
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F03_S543_comb	Mel79	B.cell
cy94_cd45neg_cd90pos_A07_S295_comb	Mel94	?
cy60_1_cd_45_pos_4_A04_S4_comb	Mel60	B.cell
cy94_cd45neg_cd90pos_F09_S357_comb	Mel94	?
CY89A_CD45_POS_10_H11_S287_comb	Mel89	Macrophage
cy58_1_CD45_pos_D11_S623_comb	Mel58	T.CD8
cy60_1_cd_45_pos_3_G10_S370_comb	Mel60	B.cell
cy84_Met_CD45_pos_A01_S865_comb	Mel84	Macrophage
