Unnamed: 0,cell,seurat,ascend,cellRanger,cidr,clue,countClust,RaceID,rca,SAFE,SAME_AIC,SAME_BIC,sc3,scran,seurat_y,simlr,truth,tscan,paper
1853,cy72_CD45_pos_D04_S904_comb,3,1,4,1,11,1,954,4,3,10,14,1,4,3,7,B Cell,1,3
1854,cy72_CD45_pos_G01_S937_comb,13,1,1,5,4,3,1,4,3,11,12,25,4,9,7,B Cell,3,3
1855,cy53_1_CD45_pos_1_C12_S36_comb,1,1,1,7,10,1,1,2,2,4,5,5,3,1,14,T Cell,1,2
1856,cy74_CD45_pos_D06_S714_comb,2,1,1,7,1,3,894,3,1,9,15,11,1,1,14,T Cell,3,2
1857,cy80_CD45_pos_PD1_pos_A12_S108_comb,2,1,1,2,10,1,526,3,1,14,16,8,1,1,14,T Cell,1,2
1858,cy74_CD45_pos_H05_S761_comb,1,1,2,7,10,3,217,2,1,20,15,5,1,1,14,T Cell,3,2
1859,cy53_1_CD45_pos_2_A11_S971_comb,3,1,7,7,4,3,1,13,3,11,12,25,4,3,7,Melanoma,3,1
1860,cy58_1_CD45_pos_E01_S625_comb,1,1,2,4,10,1,1222,2,1,4,5,20,1,2,14,T Cell,1,2
1861,cy82_CD45_pos_2_D03_S519_comb,7,2,3,3,6,2,3,1,8,8,3,24,2,14,3,Melanoma,2,1
1862,cy72_CD45_pos_D12_S912_comb,3,1,4,7,11,3,1,4,3,7,12,1,4,3,7,B Cell,3,3
1863,cy74_CD45_pos_B08_S692_comb,10,1,6,2,1,1,2228,3,1,14,16,11,1,6,14,T Cell,1,2
1864,cy72_CD45_pos_H02_S950_comb,1,1,2,4,10,1,582,2,2,18,10,5,3,1,14,T Cell,1,2
1865,cy58_1_CD45_pos_C05_S605_comb,3,1,6,1,11,1,1688,4,3,10,14,1,4,3,9,B Cell,1,3
1866,cy72_CD45_pos_F12_S936_comb,1,1,2,4,10,1,445,2,2,18,10,5,3,1,14,T Cell,1,2
1867,cy53_1_CD45_pos_1_G04_S76_comb,1,1,2,4,10,1,308,2,2,18,10,5,3,1,14,T Cell,1,2
1868,cy58_1_CD45_pos_C02_S602_comb,1,1,2,4,10,1,714,2,2,18,10,5,3,1,14,T Cell,1,2
1869,cy72_CD45_pos_E11_S923_comb,1,1,2,4,10,1,691,2,2,18,10,5,3,1,14,T Cell,1,2
1870,cy82_CD45_neg_3_D03_S807_comb,7,2,3,8,6,2,3,1,8,17,3,24,6,14,3,Melanoma,2,1
1871,cy74_CD45_pos_C01_S697_comb,2,1,1,7,1,4,102,3,1,1,2,11,1,1,14,T Cell,4,2
1872,cy58_1_CD45_pos_G07_S655_comb,10,1,6,2,1,1,2158,3,1,14,16,8,1,2,9,T Cell,1,2
1873,cy53_1_CD45_neg_F07_S355_comb,8,2,3,6,3,2,99,11,8,17,3,29,6,9,3,Melanoma,2,1
1874,cy58_1_CD45_pos_F07_S643_comb,1,1,6,4,10,1,1093,2,2,4,10,5,3,2,14,T Cell,1,2
1875,cy74_CD45_pos_F09_S741_comb,2,1,1,2,1,4,968,3,1,1,2,11,1,1,14,T Cell,4,2
1876,cy82_CD45_pos_2_D04_S520_comb,1,1,1,4,10,3,1,2,1,20,15,5,1,1,14,T Cell,3,2
1877,cy72_CD45_pos_G04_S940_comb,3,1,4,1,11,1,539,4,3,10,14,1,4,3,7,B Cell,1,3
1878,cy72_CD45_pos_E02_S914_comb,3,1,4,1,11,3,181,4,3,7,12,1,4,3,7,B Cell,3,3
1879,cy58_1_CD45_pos_C10_S610_comb,5,1,6,2,1,1,2077,3,1,14,16,8,1,2,9,T Cell,1,2
1880,cy80_CD45_pos_PD1_pos_G04_S172_comb,2,1,1,2,1,3,82,3,1,9,15,14,1,1,14,T Cell,3,2
1881,cy58_1_CD45_pos_H10_S670_comb,2,1,6,2,1,1,1204,3,1,14,16,11,1,2,9,T Cell,1,2
1882,cy80_CD45_pos_PD1_pos_E06_S150_comb,13,1,1,5,4,3,1,2,1,2,9,23,7,9,14,T Cell,3,2
1883,cy53_1_CD45_pos_1_G03_S75_comb,5,1,1,2,1,3,393,3,1,9,15,15,1,1,14,T Cell,3,2
1884,cy72_CD45_pos_F05_S929_comb,1,1,2,4,10,1,999,2,2,18,10,5,3,1,14,T Cell,1,2
1885,cy53_1_CD45_pos_2_B04_S976_comb,1,1,2,7,10,1,264,2,2,4,10,5,3,2,14,T Cell,1,2
1886,cy53_1_CD45_pos_1_B12_S24_comb,5,1,1,7,1,3,208,3,1,9,15,15,1,2,14,T Cell,3,2
1887,cy53_1_CD45_pos_2_D09_S1005_comb,9,2,7,7,8,3,95,5,5,5,7,22,7,7,13,Macrophage,3,4
1888,cy53_1_CD45_pos_2_D08_S1004_comb,5,1,2,7,10,1,901,3,1,14,5,18,1,2,14,T Cell,1,2
1889,cy80_CD45_pos_PD1_pos_B01_S109_comb,2,1,1,2,1,4,147,3,1,1,2,11,1,1,14,T Cell,4,2
1890,cy82_CD45_pos_2_B10_S502_comb,1,1,1,7,10,3,1,2,1,20,15,13,1,1,14,T Cell,3,2
1891,cy74_CD45_pos_D07_S715_comb,5,1,2,2,10,1,1772,3,1,14,16,8,1,1,14,T Cell,1,2
1892,cy72_CD45_pos_G06_S942_comb,1,1,2,4,10,1,357,2,2,18,10,5,3,1,14,T Cell,1,2
1893,cy58_1_CD45_pos_F06_S642_comb,1,1,6,4,10,1,1645,2,2,4,10,5,3,2,14,T Cell,1,2
1894,cy72_CD45_pos_C04_S892_comb,1,1,2,4,10,1,492,2,2,18,10,5,3,1,14,T Cell,1,2
1895,cy53_1_CD45_pos_2_H09_S1053_comb,2,1,1,2,1,3,1,3,1,9,15,15,1,2,14,Melanoma,3,1
1896,cy72_CD45_pos_E05_S917_comb,1,1,2,4,10,1,1175,2,2,18,10,5,3,1,14,T Cell,1,2
1897,cy72_CD45_pos_D01_S901_comb,5,1,2,4,10,1,1227,3,1,18,5,17,3,1,14,T Cell,1,2
1898,cy53_1_CD45_neg_E03_S339_comb,14,2,9,6,3,5,422,8,7,21,6,25,6,12,12,Endothelial,5,5
1899,cy58_1_CD45_pos_A12_S588_comb,1,1,6,4,10,1,606,2,2,18,10,5,3,1,14,T Cell,1,2
1900,cy53_1_CD45_neg_C09_S321_comb,12,2,3,6,6,2,15,1,8,17,3,29,6,5,3,Melanoma,2,1
1901,cy82_CD45_neg_3_C08_S800_comb,15,2,3,6,3,5,172,12,7,19,6,24,6,13,12,CAF,5,6
1902,cy53_1_CD45_neg_F08_S356_comb,8,2,3,6,3,2,99,11,8,17,3,29,6,9,3,Melanoma,2,1
1903,cy53_1_CD45_pos_2_D10_S1006_comb,9,1,7,8,8,3,5,5,5,5,7,22,7,7,13,Macrophage,3,4
1904,cy53_1_CD45_pos_1_B02_S14_comb,2,1,1,2,1,3,1,3,1,9,15,15,1,1,14,Melanoma,3,1
1905,cy53_1_CD45_pos_1_C11_S35_comb,1,1,2,4,10,1,994,2,2,18,10,5,3,1,14,T Cell,1,2
1906,cy80_CD45_pos_PD1_pos_D05_S137_comb,5,1,1,7,10,3,785,2,1,20,15,12,1,1,14,T Cell,3,2
1907,cy53_1_CD45_pos_1_F03_S63_comb,2,1,1,2,1,3,1,3,1,9,15,15,1,1,14,T Cell,3,2
1908,cy74_CD45_pos_E10_S730_comb,2,1,1,2,10,1,757,3,1,14,16,18,1,1,14,T Cell,1,2
1909,cy58_1_CD45_pos_D11_S623_comb,1,1,6,4,10,1,475,2,2,4,10,5,3,2,14,Melanoma,1,1
1910,cy53_1_CD45_pos_1_F09_S69_comb,1,1,1,7,10,3,282,2,1,20,15,5,1,1,14,T Cell,3,2
1911,cy80_CD45_pos_PD1_pos_E12_S156_comb,2,1,1,7,4,3,1,3,1,9,15,14,1,1,14,T Cell,3,2
1912,cy72_CD45_pos_C09_S897_comb,1,1,2,4,10,1,553,2,2,18,10,5,3,1,14,T Cell,1,2
1913,cy58_1_CD45_pos_A08_S584_comb,2,1,6,2,1,1,581,3,1,14,16,11,1,2,9,T Cell,1,2
1914,cy58_1_CD45_pos_B01_S589_comb,1,1,2,2,10,1,1346,2,1,14,5,18,1,1,14,T Cell,1,2
1915,cy74_CD45_pos_G01_S745_comb,2,1,1,2,1,4,673,3,1,1,2,11,1,1,14,T Cell,4,2
1916,cy58_1_CD45_pos_E06_S630_comb,1,1,6,4,10,1,1170,2,2,4,10,5,3,2,14,T Cell,1,2
1917,cy80_CD45_pos_PD1_pos_C10_S130_comb,5,1,2,4,10,1,2685,2,1,4,5,12,1,1,14,T Cell,1,2
1918,cy53_1_CD45_pos_2_D03_S999_comb,2,1,1,2,1,1,787,3,1,14,16,15,1,2,14,NK,1,7
1919,cy72_CD45_pos_A10_S874_comb,1,1,2,4,10,1,1694,2,1,4,5,12,1,1,14,T Cell,1,2
1920,cy80_CD45_pos_PD1_pos_C02_S122_comb,13,1,1,7,4,3,1,2,1,2,9,23,7,9,14,T Cell,3,2
1921,cy53_1_CD45_pos_2_F03_S1023_comb,3,1,7,7,4,3,1,13,3,11,12,25,4,3,7,Melanoma,3,1
1922,cy53_1_CD45_pos_2_C06_S990_comb,2,1,6,2,1,1,1854,3,1,14,16,8,1,2,14,T Cell,1,2
1923,cy74_CD45_pos_C08_S704_comb,2,1,1,2,1,4,1,3,1,1,2,11,1,1,14,T Cell,4,2
1924,cy74_CD45_pos_F08_S740_comb,2,1,1,7,1,4,1,3,1,1,2,11,1,1,14,T Cell,4,2
1925,cy72_CD45_pos_C11_S899_comb,1,1,2,4,10,1,1234,2,2,18,10,5,3,1,14,Melanoma,1,1
1926,cy53_1_CD45_neg_B06_S306_comb,6,2,3,6,12,2,2595,6,8,17,3,29,2,5,3,Melanoma,2,1
1927,cy53_1_CD45_pos_2_H02_S1046_comb,5,1,1,7,1,3,586,2,1,20,15,13,1,2,14,T Cell,3,2
1928,cy74_CD45_pos_C06_S702_comb,2,1,1,2,1,4,1199,3,1,1,2,11,1,1,14,T Cell,4,2
1929,cy72_CD45_pos_B12_S888_comb,1,1,2,4,10,1,276,2,2,18,10,5,3,1,14,T Cell,1,2
1930,cy53_1_CD45_pos_2_A06_S966_comb,2,1,2,2,10,1,573,3,1,14,16,15,1,2,14,NK,1,7
1931,cy53_1_CD45_neg_G03_S363_comb,8,2,3,3,6,2,15,9,8,12,3,29,2,9,3,Melanoma,2,1
1932,cy74_CD45_pos_B07_S691_comb,2,1,1,2,1,3,1698,3,1,9,15,11,1,1,14,T Cell,3,2
1933,cy58_1_CD45_pos_F05_S641_comb,2,1,6,2,1,1,1754,3,1,14,16,11,1,2,14,T Cell,1,2
1934,cy72_CD45_pos_C10_S898_comb,3,1,4,7,11,1,515,4,3,10,14,1,4,3,7,B Cell,1,3
1935,cy72_CD45_pos_H03_S951_comb,1,1,2,4,10,1,1814,2,2,18,10,5,3,1,14,T Cell,1,2
1936,cy53_1_CD45_neg_A07_S295_comb,6,2,3,6,12,2,15,11,8,17,3,29,6,5,3,Melanoma,2,1
1937,cy53_1_CD45_pos_2_E05_S1013_comb,1,1,6,2,10,1,63,2,1,22,8,20,3,6,9,T Cell,1,2
1938,cy82_CD45_pos_2_A10_S490_comb,5,1,1,7,4,3,126,2,1,20,15,13,1,1,14,T Cell,3,2
1939,cy72_CD45_pos_G12_S948_comb,1,1,2,4,10,1,1871,2,2,18,10,5,3,1,14,T Cell,1,2
1940,cy80_CD45_pos_PD1_pos_G12_S180_comb,2,1,1,7,1,3,1,3,1,9,15,14,1,1,14,T Cell,3,2
1941,cy72_CD45_pos_D06_S906_comb,1,1,2,4,10,1,1323,2,2,18,10,5,3,1,7,T Cell,1,2
1942,cy53_1_CD45_pos_2_B02_S974_comb,5,1,2,7,10,1,1631,3,1,14,5,17,1,2,14,T Cell,1,2
1943,cy82_CD45_pos_2_B04_S496_comb,1,1,2,3,10,3,1958,2,2,18,10,18,3,1,3,Melanoma,3,1
1944,cy53_1_CD45_pos_1_A04_S4_comb,5,1,2,4,10,1,430,2,1,18,5,8,1,1,14,T Cell,1,2
1945,cy74_CD45_pos_C10_S706_comb,2,1,1,2,1,4,542,3,1,1,2,11,1,1,14,T Cell,4,2
1946,cy72_CD45_pos_C05_S893_comb,3,1,4,7,11,1,604,4,3,10,14,1,4,3,7,B Cell,1,3
1947,cy53_1_CD45_pos_1_F12_S72_comb,5,1,2,2,10,1,1141,3,1,14,16,14,1,1,14,T Cell,1,2
1948,cy72_CD45_pos_B08_S884_comb,1,1,2,4,10,1,1616,2,2,18,10,20,3,1,14,T Cell,1,2
1949,cy72_CD45_pos_A02_S866_comb,3,1,4,1,11,1,1505,4,3,10,14,1,4,3,7,B Cell,1,3
1950,cy53_1_CD45_neg_D05_S329_comb,12,2,3,3,6,2,15,11,8,12,3,29,2,5,3,Melanoma,2,1
1951,cy53_1_CD45_pos_1_C02_S26_comb,5,1,1,7,4,3,1,2,1,20,15,20,1,1,14,T Cell,3,2
1952,cy53_1_CD45_pos_1_H10_S94_comb,1,1,1,7,10,3,60,2,1,20,15,5,1,1,14,T Cell,3,2
1953,cy74_CD45_pos_F10_S742_comb,2,1,1,2,1,4,508,3,1,1,2,11,1,1,14,T Cell,4,2
1954,cy58_1_CD45_pos_C08_S608_comb,9,2,7,7,8,3,5,5,5,5,7,22,7,7,13,Macrophage,3,4
1955,cy53_1_CD45_neg_G02_S362_comb,6,2,3,6,6,2,15,11,8,17,3,29,6,1,3,Melanoma,2,1
1956,cy80_CD45_pos_PD1_pos_D04_S136_comb,5,1,2,4,10,1,1013,2,1,4,5,12,1,1,14,T Cell,1,2
1957,cy74_CD45_pos_G05_S749_comb,2,1,1,2,1,4,1,3,1,1,2,11,1,1,14,T Cell,4,2
1958,cy58_1_CD45_pos_A06_S582_comb,5,1,6,2,1,1,545,3,1,14,16,15,1,2,14,T Cell,1,2
1959,cy72_CD45_pos_F01_S925_comb,1,1,2,4,10,1,1898,2,2,18,10,5,3,1,14,Melanoma,1,1
1960,cy82_CD45_pos_2_A02_S482_comb,1,1,2,4,10,3,1544,2,2,18,10,5,3,1,14,T Cell,3,2
1961,cy58_1_CD45_pos_C03_S603_comb,1,1,2,4,10,1,1840,2,2,18,10,5,3,1,14,T Cell,1,2
1962,cy53_1_CD45_pos_1_A10_S10_comb,5,1,1,7,10,1,227,2,1,4,5,17,1,2,14,T Cell,1,2
1963,cy80_CD45_pos_PD1_pos_F08_S164_comb,5,1,1,7,4,3,62,2,1,20,15,12,1,1,14,T Cell,3,2
1964,cy72_CD45_pos_C03_S891_comb,1,1,1,7,10,3,745,2,1,20,15,5,1,1,14,T Cell,3,2
1965,cy58_1_CD45_pos_C01_S601_comb,3,1,1,7,4,3,1,14,3,11,12,25,4,3,5,B Cell,3,3
1966,cy53_1_CD45_pos_1_G05_S77_comb,1,1,6,2,10,1,2625,2,1,4,5,18,3,2,14,T Cell,1,2
1967,cy53_1_CD45_neg_H11_S383_comb,12,2,3,3,6,2,15,1,8,12,3,29,2,5,3,Melanoma,2,1
1968,cy72_CD45_pos_B05_S881_comb,1,1,2,7,10,1,1,2,1,4,5,5,1,1,14,T Cell,1,2
1969,cy74_CD45_pos_D04_S712_comb,5,1,1,2,1,3,1052,3,1,9,15,8,1,1,14,T Cell,3,2
1970,cy58_1_CD45_pos_G08_S656_comb,5,1,2,5,10,1,162,3,1,14,5,9,1,2,14,T Cell,1,2
1971,cy58_1_CD45_pos_G12_S660_comb,2,1,6,2,1,1,773,3,1,14,16,11,1,2,14,T Cell,1,2
1972,cy74_CD45_pos_A03_S675_comb,13,1,1,7,4,3,165,3,1,2,9,9,1,9,14,T Cell,3,2
1973,cy72_CD45_pos_C01_S889_comb,1,1,2,4,10,1,533,2,2,18,10,5,3,1,14,T Cell,1,2
1974,cy80_CD45_pos_PD1_pos_D03_S135_comb,2,1,1,7,10,1,1,3,1,14,16,8,1,1,14,T Cell,1,2
1975,cy80_CD45_pos_PD1_pos_H02_S182_comb,5,1,1,7,10,3,754,2,1,20,15,12,1,1,14,T Cell,3,2
1976,cy72_CD45_pos_A03_S867_comb,3,1,4,7,11,3,1,4,3,7,12,25,4,3,7,B Cell,3,3
1977,cy58_1_CD45_pos_H03_S663_comb,10,1,6,2,1,1,1040,3,1,14,16,11,1,2,9,T Cell,1,2
1978,cy80_CD45_pos_PD1_pos_G09_S177_comb,5,1,2,7,10,1,67,2,1,4,5,13,1,2,14,T Cell,1,2
1979,cy80_CD45_pos_PD1_pos_D06_S138_comb,5,1,1,7,4,3,1,17,1,2,9,12,7,2,14,T Cell,3,2
1980,cy58_1_CD45_pos_A03_S579_comb,1,1,2,4,10,1,324,2,2,18,10,5,3,1,14,T Cell,1,2
1981,cy58_1_CD45_pos_D09_S621_comb,2,1,6,2,1,1,1004,3,1,14,16,11,1,2,9,T Cell,1,2
1982,cy58_1_CD45_pos_B06_S594_comb,2,1,2,2,10,1,1088,3,1,14,16,11,1,1,14,T Cell,1,2
1983,cy82_CD45_pos_2_F01_S541_comb,1,1,2,4,10,1,1736,3,1,18,5,18,1,1,14,T Cell,1,2
1984,cy58_1_CD45_pos_C07_S607_comb,1,1,6,4,10,1,1508,2,2,4,10,5,3,2,9,T Cell,1,2
1985,cy74_CD45_pos_A11_S683_comb,9,2,7,7,8,3,10,5,5,5,7,22,7,7,13,Macrophage,3,4
1986,cy72_CD45_pos_F11_S935_comb,1,1,2,4,10,1,434,2,2,18,10,5,3,1,14,T Cell,1,2
1987,cy53_1_CD45_neg_D08_S332_comb,14,2,9,3,3,5,457,8,7,21,6,25,6,12,12,Endothelial,5,5
1988,cy74_CD45_pos_F04_S736_comb,5,1,1,2,10,3,426,2,1,20,15,13,1,1,14,T Cell,3,2
1989,cy74_CD45_pos_C12_S708_comb,3,1,4,1,11,1,1192,4,3,10,14,1,4,3,7,B Cell,1,3
1990,cy80_CD45_pos_PD1_pos_B06_S114_comb,3,1,2,7,10,1,1179,2,1,14,5,8,1,1,14,T Cell,1,2
1991,cy53_1_CD45_pos_1_H01_S85_comb,1,1,1,7,10,3,1,2,1,20,15,5,1,1,14,T Cell,3,2
1992,cy74_CD45_pos_D08_S716_comb,2,1,1,2,1,4,941,3,1,1,2,11,1,1,14,T Cell,4,2
1993,cy74_CD45_pos_A02_S674_comb,5,1,2,2,10,1,1886,3,1,14,16,11,1,1,14,T Cell,1,2
1994,cy72_CD45_pos_E12_S924_comb,1,1,2,4,10,1,848,2,2,18,10,5,3,1,14,T Cell,1,2
1995,cy58_1_CD45_pos_G05_S653_comb,1,1,6,4,10,1,1576,2,2,18,10,5,3,1,14,T Cell,1,2
1996,cy74_CD45_pos_A04_S676_comb,5,1,1,7,10,1,1182,2,2,4,5,5,3,1,14,T Cell,1,2
1997,cy58_1_CD45_pos_E09_S633_comb,10,1,6,2,9,1,2528,7,4,22,8,17,8,6,9,T Cell,1,2
1998,cy72_CD45_pos_G08_S944_comb,1,1,2,4,10,1,1,2,1,4,10,5,1,2,14,T Cell,1,2
1999,cy74_CD45_pos_F11_S743_comb,2,1,1,2,1,4,969,3,1,1,2,11,1,1,14,T Cell,4,2
2000,cy80_CD45_pos_PD1_pos_H04_S184_comb,5,1,1,7,10,3,1,2,1,20,15,8,7,1,14,T Cell,3,2
2001,cy80_CD45_pos_PD1_pos_B04_S112_comb,2,1,1,7,1,4,1,3,1,1,2,8,1,1,14,T Cell,4,2
2002,cy80_CD45_pos_PD1_pos_A02_S98_comb,5,1,1,7,10,3,1,2,1,20,15,12,7,1,14,T Cell,3,2
2003,cy74_CD45_pos_B03_S687_comb,1,1,2,4,10,1,89,2,2,4,10,5,3,2,14,T Cell,1,2
2004,cy74_CD45_pos_D05_S713_comb,2,1,1,2,1,3,709,3,1,9,15,11,1,1,14,T Cell,3,2
2005,cy74_CD45_pos_B12_S696_comb,9,2,7,7,8,3,10,5,5,5,7,22,7,7,13,Melanoma,3,1
2006,cy53_1_CD45_pos_2_B10_S982_comb,1,1,2,7,10,1,1,2,1,4,5,5,1,2,14,T Cell,1,2
2007,cy58_1_CD45_pos_E11_S635_comb,5,1,6,7,10,1,675,2,1,4,5,13,1,2,14,T Cell,1,2
2008,cy72_CD45_pos_G07_S943_comb,3,1,4,1,11,1,471,4,3,10,14,1,4,3,7,B Cell,1,3
2009,cy80_CD45_pos_PD1_pos_H05_S185_comb,5,1,1,7,4,3,1,2,1,20,15,12,1,1,14,T Cell,3,2
2010,cy74_CD45_pos_B02_S686_comb,9,2,7,7,8,3,292,5,5,5,7,22,7,7,13,Melanoma,3,1
2011,cy80_CD45_pos_PD1_pos_F09_S165_comb,5,1,2,7,10,1,67,2,1,4,5,13,1,2,14,T Cell,1,2
2012,cy53_1_CD45_pos_1_G01_S73_comb,2,1,1,7,1,4,1,3,1,1,2,8,1,1,14,T Cell,4,2
2013,cy72_CD45_pos_A09_S873_comb,1,1,2,7,10,3,1,2,1,20,15,5,1,1,14,T Cell,3,2
2014,cy80_CD45_pos_PD1_pos_A07_S103_comb,5,1,2,4,10,1,1932,2,1,4,5,12,1,1,14,T Cell,1,2
2015,cy53_1_CD45_pos_2_G04_S1036_comb,1,1,2,7,10,1,490,2,1,4,5,5,1,2,14,T Cell,1,2
2016,cy74_CD45_pos_C02_S698_comb,2,1,7,7,4,3,292,19,1,6,7,13,1,7,14,T Cell,3,2
2017,cy53_1_CD45_pos_1_G08_S80_comb,9,2,7,7,8,3,10,5,5,5,7,22,7,7,13,Macrophage,3,4
2018,cy80_CD45_pos_PD1_pos_F10_S166_comb,2,1,1,2,1,3,79,3,1,9,15,14,1,1,14,T Cell,3,2
2019,cy53_1_CD45_neg_G07_S367_comb,14,2,9,3,3,5,7,8,7,21,6,25,2,12,12,Endothelial,5,5
2020,cy72_CD45_pos_D05_S905_comb,1,1,2,4,10,1,549,2,2,18,10,5,3,1,14,T Cell,1,2
2021,cy72_CD45_pos_D11_S911_comb,1,1,1,7,10,3,472,2,1,20,15,5,1,1,14,T Cell,3,2
2022,cy53_1_CD45_pos_2_A12_S972_comb,13,1,1,5,4,3,1,2,1,2,9,23,7,9,14,T Cell,3,2
2023,cy80_CD45_pos_PD1_pos_G03_S171_comb,1,1,2,4,10,1,78,2,1,4,5,12,1,1,14,Melanoma,1,1
2024,cy53_1_CD45_pos_1_A07_S7_comb,5,1,1,7,10,1,390,2,1,14,5,8,1,2,14,T Cell,1,2
2025,cy82_CD45_pos_2_E03_S531_comb,7,2,3,3,6,2,7,1,8,17,3,24,6,14,3,Melanoma,2,1
2026,cy80_CD45_pos_PD1_pos_A05_S101_comb,5,1,1,4,10,1,1082,2,1,4,5,12,1,1,14,T Cell,1,2
2027,cy53_1_CD45_pos_2_A10_S970_comb,9,1,7,8,8,3,1205,5,5,5,7,22,7,7,13,Macrophage,3,4
2028,cy74_CD45_pos_B01_S685_comb,2,1,1,2,1,4,1,3,1,1,2,11,1,1,14,T Cell,4,2
2029,cy58_1_CD45_pos_F11_S647_comb,10,1,6,4,10,1,1652,3,1,14,16,8,1,2,14,Melanoma,1,1
2030,cy74_CD45_pos_D01_S709_comb,2,1,1,2,1,4,1,3,1,1,2,11,1,1,14,T Cell,4,2
2031,cy80_CD45_pos_PD1_pos_E03_S147_comb,5,1,1,7,4,3,1,2,1,20,15,12,1,2,14,T Cell,3,2
2032,cy53_1_CD45_pos_2_E03_S1011_comb,3,1,7,7,11,3,87,13,3,11,12,25,4,3,7,Melanoma,3,1
2033,cy74_CD45_pos_G06_S750_comb,5,1,2,4,10,3,1279,2,1,20,15,18,1,1,14,T Cell,3,2
2034,cy82_CD45_neg_3_H02_S854_comb,1,1,2,8,10,3,2352,6,2,15,10,19,3,1,3,Melanoma,3,1
2035,cy58_1_CD45_pos_F09_S645_comb,2,1,6,2,1,1,684,3,1,14,16,11,1,2,9,T Cell,1,2
2036,cy74_CD45_pos_F06_S738_comb,1,1,2,4,10,3,1241,2,2,18,10,5,3,1,14,T Cell,3,2
2037,cy80_CD45_pos_PD1_pos_D07_S139_comb,5,1,2,4,10,1,961,2,1,18,5,8,1,1,14,T Cell,1,2
2038,cy72_CD45_pos_G11_S947_comb,1,1,2,4,10,1,628,2,2,18,10,5,3,1,14,T Cell,1,2
2039,cy58_1_CD45_pos_E10_S634_comb,5,1,6,2,1,1,1941,3,1,14,16,15,1,2,14,Melanoma,1,1
2040,cy80_CD45_pos_PD1_pos_C08_S128_comb,2,1,2,2,10,1,1750,2,1,14,5,8,1,1,14,T Cell,1,2
2041,cy74_CD45_pos_A10_S682_comb,2,1,2,2,10,1,1361,3,1,14,16,15,1,1,14,NK,1,7
2042,cy53_1_CD45_pos_2_G11_S1043_comb,2,1,1,7,10,1,1,2,1,4,5,13,1,2,14,T Cell,1,2
2043,cy72_CD45_pos_G05_S941_comb,5,1,2,4,10,1,615,2,1,4,5,13,1,1,14,T Cell,1,2
2044,cy53_1_CD45_pos_1_E11_S59_comb,1,1,6,2,10,1,2710,7,1,22,8,5,3,2,9,T Cell,1,2
2045,cy58_1_CD45_pos_B12_S600_comb,2,1,6,2,1,1,1217,3,1,14,16,11,1,2,14,T Cell,1,2
2046,cy53_1_CD45_pos_1_F01_S61_comb,5,1,1,7,10,3,1,2,1,20,15,13,1,1,14,T Cell,3,2
2047,cy53_1_CD45_pos_2_G03_S1035_comb,5,1,2,7,10,1,1102,3,1,14,16,15,1,2,14,T Cell,1,2
2048,cy80_CD45_pos_PD1_pos_A11_S107_comb,5,1,1,4,10,3,1480,2,1,20,15,20,1,1,14,T Cell,3,2
2049,cy53_1_CD45_pos_2_H05_S1049_comb,9,2,7,7,8,3,5,5,5,5,7,22,7,7,13,Macrophage,3,4
2050,cy53_1_CD45_pos_1_B10_S22_comb,9,2,7,7,8,1,221,5,5,5,7,22,7,7,13,Melanoma,1,1
2051,cy53_1_CD45_pos_2_A08_S968_comb,5,1,2,7,10,1,500,3,1,14,16,15,1,2,14,T Cell,1,2
2052,cy53_1_CD45_pos_2_C08_S992_comb,5,1,1,7,10,1,948,3,1,14,16,8,1,1,14,T Cell,1,2
2053,cy80_CD45_pos_PD1_pos_D11_S143_comb,14,1,9,5,3,5,1,4,7,21,6,25,7,12,12,Melanoma,5,1
2054,cy53_1_CD45_pos_2_H04_S1048_comb,5,1,1,7,10,1,359,2,1,4,5,18,1,2,14,T Cell,1,2
2055,cy53_1_CD45_pos_2_E04_S1012_comb,1,1,2,7,10,1,71,2,1,4,5,20,1,2,14,T Cell,1,2
2056,cy58_1_CD45_pos_H12_S672_comb,2,1,6,5,9,1,1,3,1,22,8,9,7,6,9,T Cell,1,2
2057,cy74_CD45_pos_B09_S693_comb,5,1,2,5,10,1,2455,3,1,18,5,17,3,1,14,T Cell,1,2
2058,cy79_p3_CD45_neg_PDL1_neg_E09_S249_comb,15,2,3,3,3,5,6,12,7,19,6,24,6,13,12,CAF,5,6
2059,cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
2060,cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb,4,2,5,7,6,2,7,18,8,3,11,4,5,4,6,Melanoma,2,1
2061,cy79_p3_CD45_pos_PD1_neg_A08_S104_comb,3,1,4,1,11,3,860,4,3,7,12,1,4,3,7,B Cell,3,3
2062,cy79_p3_CD45_neg_PDL1_neg_H12_S288_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
2063,cy79_p3_CD45_neg_PDL1_neg_A08_S200_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
2064,cy79_p3_CD45_pos_PD1_neg_E01_S145_comb,3,1,4,1,11,3,695,4,3,7,12,1,4,3,7,B Cell,3,3
2065,cy79_p3_CD45_pos_PD1_neg_F07_S163_comb,3,1,4,1,11,3,1,4,3,7,12,1,4,3,7,B Cell,3,3
