GeneSym	Count_NonImmune	NonImmuneEnrichment
SLC23A2	16	0.24
HN1	16	0.24
ME1	16	0.24
PRRG1	16	0.24
CACNB3	16	0.24
CEND1	16	0.24
C1orf216	16	0.24
209057_x_at	16	0.24
LGMN	16	0.24
AIM1	16	0.24
SMAD1	16	0.24
FLNA	16	0.24
HECTD3	16	0.24
SMOX	16	0.24
DGKZ	16	0.24
MTMR1	16	0.24
LAMP2	16	0.24
SIN3B	16	0.24
49111_at	16	0.24
CSGALNACT1	16	0.24
CDK5	16	0.24
EFHD2	16	0.24
ENG	16	0.24
GYG1	16	0.24
EPHB4	16	0.24
DIXDC1	16	0.24
TRPC1	16	0.24
ODC1	16	0.24
PRR13	16	0.24
ORMDL2	16	0.24
LRRC59	16	0.24
OPA1	16	0.24
CUGBP2	16	0.24
CARM1	16	0.24
203402_at	16	0.24
NSUN5B	16	0.24
PRKAR1A	16	0.24
202048_s_at	16	0.24
PRKACA	16	0.24
TEX2	16	0.24
212760_at	16	0.24
212098_at	16	0.24
CASC3	16	0.24
H2AFZ	16	0.24
205616_at	16	0.24
STX12	16	0.24
36612_at	16	0.24
ZNF512B	16	0.24
PDIA4	16	0.24
ATP6V1D	16	0.24
ITGA5	16	0.24
ATP6V1H	16	0.24
ZYX	16	0.24
C2orf47	16	0.24
ABCC5	16	0.24
TIMM8B	16	0.24
SLC20A1	16	0.24
SERP1	16	0.24
SYPL1	16	0.24
DAZAP2	16	0.24
212690_at	16	0.24
PNPLA6	16	0.24
TMED2	16	0.24
ENTPD6	16	0.24
CLIP1	16	0.24
PRDX6	16	0.24
KIAA0232	16	0.24
MAPRE2	16	0.24
SBF1	16	0.24
HIRIP3	16	0.24
GTPBP6	16	0.24
F8A1	16	0.24
THYN1	16	0.24
EHBP1	16	0.24
WDR82	16	0.24
200749_at	16	0.24
FBXW4	16	0.24
LOC613037	16	0.24
RNF220	16	0.24
SAFB2	16	0.24
TMEM111	16	0.24
AIP	16	0.24
ARL3	16	0.24
MTHFS	16	0.24
CFDP1	16	0.24
TMEM208	16	0.24
CLINT1	16	0.24
EIF2S2	16	0.24
SSFA2	16	0.24
STK3	16	0.24
214989_x_at	16	0.24
BLOC1S1	16	0.24
TSC1	16	0.24
HLTF	16	0.24
CUL1	16	0.24
DDX5	16	0.24
SCNM1	16	0.24
221715_at	16	0.24
GGPS1	16	0.24
ASNA1	16	0.24
WDR73	16	0.24
DLK1	15	0.22
SERPINA5	15	0.22
FABP4	15	0.22
GPNMB	15	0.22
MLPH	15	0.22
SFRP1	15	0.22
213924_at	15	0.22
MAN1C1	15	0.22
GABRB1	15	0.22
CACNG3	15	0.22
RGN	15	0.22
KLF5	15	0.22
KALRN	15	0.22
APLNR	15	0.22
STX1A	15	0.22
TOM1L1	15	0.22
TSPAN5	15	0.22
PODXL	15	0.22
ACSBG1	15	0.22
WFDC1	15	0.22
MBOAT7	15	0.22
SCN1A	15	0.22
KIAA0644	15	0.22
215303_at	15	0.22
CALB2	15	0.22
FKBP11	15	0.22
CIT	15	0.22
TMEM97	15	0.22
PIK3R3	15	0.22
213325_at	15	0.22
TUFT1	15	0.22
BEST1	15	0.22
PPM1H	15	0.22
ATP10B	15	0.22
SEMA3C	15	0.22
213658_at	15	0.22
ARL4A	15	0.22
GAS6	15	0.22
CNNM1	15	0.22
PTTG1	15	0.22
USP46	15	0.22
BCAM	15	0.22
NR3C2	15	0.22
FYCO1	15	0.22
FBXW7	15	0.22
ITSN1	15	0.22
SOD3	15	0.22
MRC2	15	0.22
214064_at	15	0.22
THRA	15	0.22
212828_at	15	0.22
PKD1	15	0.22
HEXB	15	0.22
RUVBL2	15	0.22
PRDM2	15	0.22
CHST2	15	0.22
LIMA1	15	0.22
ZNF536	15	0.22
NTRK3	15	0.22
IER3	15	0.22
BNIP3L	15	0.22
FNBP1L	15	0.22
SYT5	15	0.22
ATP13A2	15	0.22
BNIP3	15	0.22
NPAS2	15	0.22
LGR4	15	0.22
213107_at	15	0.22
CARTPT	15	0.22
CYP4F12	15	0.22
WDR7	15	0.22
221523_s_at	15	0.22
LRRC23	15	0.22
UCP2	15	0.22
43511_s_at	15	0.22
GPR135	15	0.22
212687_at	15	0.22
214717_at	15	0.22
213657_s_at	15	0.22
GSTA3	15	0.22
PHF15	15	0.22
KCNS1	15	0.22
ANXA11	15	0.22
GUCY1A3	15	0.22
PHGDH	15	0.22
202771_at	15	0.22
ABHD4	15	0.22
HMGCL	15	0.22
RUSC1	15	0.22
SPR	15	0.22
KLHDC3	15	0.22
MSRA	15	0.22
EIF4E2	15	0.22
CDC42SE1	15	0.22
ZCCHC14	15	0.22
217714_x_at	15	0.22
SNRPE	15	0.22
GTF3A	15	0.22
HLA-C	15	0.22
214812_s_at	15	0.22
C14orf147	15	0.22
HLA-A29.1	15	0.22
MFGE8	15	0.22
KIAA1279	15	0.22
KAT2B	15	0.22
APOLD1	15	0.22
LXN	15	0.22
212530_at	15	0.22
CAMSAP1	15	0.22
DIMT1L	15	0.22
213902_at	15	0.22
PCID2	15	0.22
DERA	15	0.22
ST13	15	0.22
UBE2D3	15	0.22
TCEB1	15	0.22
DERL1	15	0.22
TXLNA	15	0.22
RDBP	15	0.22
CPNE3	15	0.22
ROBLD3	15	0.22
RBMS1	15	0.22
NPR2	15	0.22
217606_at	15	0.22
ETV7	15	0.22
SH2B2	15	0.22
ANGEL1	15	0.22
AZIN1	15	0.22
POLR3E	15	0.22
NPEPPS	15	0.22
POLR1B	15	0.22
CBX1	15	0.22
BTBD1	15	0.22
NCOA6	15	0.22
202377_at	15	0.22
RPRD2	15	0.22
TINP1	15	0.22
ACTR1A	15	0.22
RALGDS	15	0.22
DCTN2	15	0.22
RAB5A	15	0.22
AMZ2	15	0.22
ASAP3	15	0.22
HSD17B4	15	0.22
DPM3	15	0.22
ARFGAP2	15	0.22
PDCD10	15	0.22
C1orf149	15	0.22
SFRS4	15	0.22
SUMO1P3	15	0.22
GRIK5	15	0.22
RDX	15	0.22
CUEDC2	15	0.22
MRPS12	15	0.22
CNBP	15	0.22
NACA	15	0.22
MRFAP1L1	15	0.22
SPG7	15	0.22
PTS	15	0.22
GPBP1L1	15	0.22
215604_x_at	15	0.22
C15orf15	15	0.22
213619_at	15	0.22
RHOA	15	0.22
MORF4L1	15	0.22
BCS1L	15	0.22
MRPL18	15	0.22
216142_at	15	0.22
RBP4	14	0.21
211430_s_at	14	0.21
S100A14	14	0.21
CA12	14	0.21
LHX2	14	0.21
PEG10	14	0.21
GABRD	14	0.21
GSTA1	14	0.21
SLC1A2	14	0.21
SERPINH1	14	0.21
PPFIA4	14	0.21
214677_x_at	14	0.21
GABRA2	14	0.21
APOC1	14	0.21
MOG	14	0.21
MT1M	14	0.21
WIF1	14	0.21
CADPS2	14	0.21
CNR1	14	0.21
TMOD1	14	0.21
FLJ22662	14	0.21
209292_at	14	0.21
AKR1C3	14	0.21
KCNAB1	14	0.21
CABP1	14	0.21
TBX3	14	0.21
221261_x_at	14	0.21
SHC3	14	0.21
KAL1	14	0.21
NEUROD6	14	0.21
MFAP3L	14	0.21
GLRB	14	0.21
CAND2	14	0.21
PLCB1	14	0.21
SLC2A10	14	0.21
ATRNL1	14	0.21
GAMT	14	0.21
215121_x_at	14	0.21
RASL10A	14	0.21
OLIG2	14	0.21
TNC	14	0.21
CYB5A	14	0.21
SALL2	14	0.21
212985_at	14	0.21
MAFB	14	0.21
FBLN2	14	0.21
CTSD	14	0.21
NRIP3	14	0.21
TP53I3	14	0.21
CELSR3	14	0.21
AK3L1	14	0.21
PID1	14	0.21
MGAT4B	14	0.21
DKFZP586H2123	14	0.21
SLC31A2	14	0.21
COL14A1	14	0.21
222329_x_at	14	0.21
ADM	14	0.21
HRSP12	14	0.21
MKL2	14	0.21
TUBG1	14	0.21
CKS2	14	0.21
TMEM204	14	0.21
N4BP2L1	14	0.21
CREB3L1	14	0.21
TPD52	14	0.21
TNK2	14	0.21
SMPDL3A	14	0.21
FNDC3B	14	0.21
PLXNA2	14	0.21
SYNJ1	14	0.21
DHRS1	14	0.21
SPON1	14	0.21
GALNT3	14	0.21
SRI	14	0.21
HOMER2	14	0.21
WIPI1	14	0.21
GNG11	14	0.21
TTLL7	14	0.21
RGL1	14	0.21
KLF10	14	0.21
ZFYVE21	14	0.21
213502_x_at	14	0.21
NUDT11	14	0.21
TMEM22	14	0.21
HDAC9	14	0.21
RFTN1	14	0.21
ANKRD46	14	0.21
TBPL1	14	0.21
DBN1	14	0.21
PCNXL2	14	0.21
FSCN1	14	0.21
EGFL7	14	0.21
HMGB2	14	0.21
ETV5	14	0.21
HIST2H2BE	14	0.21
H2AFV	14	0.21
CTAGE4	14	0.21
CNKSR1	14	0.21
MFSD1	14	0.21
DRG1	14	0.21
IQSEC1	14	0.21
FAM3C	14	0.21
MXD3	14	0.21
ACSL3	14	0.21
215467_x_at	14	0.21
PRRX2	14	0.21
C12orf51	14	0.21
217653_x_at	14	0.21
UGCGL2	14	0.21
GTF2A2	14	0.21
SLC9A1	14	0.21
ALDH5A1	14	0.21
TSTA3	14	0.21
212605_s_at	14	0.21
PMM1	14	0.21
GPR125	14	0.21
ABHD14A	14	0.21
ZHX3	14	0.21
MAP2K1	14	0.21
AGAP2	14	0.21
ETFA	14	0.21
SGSM2	14	0.21
IRS2	14	0.21
MRPS15	14	0.21
203020_at	14	0.21
TUBB	14	0.21
IRAK1	14	0.21
NDEL1	14	0.21
217580_x_at	14	0.21
ISOC1	14	0.21
RAB5B	14	0.21
SLC2A4RG	14	0.21
DEXI	14	0.21
SLBP	14	0.21
UGCG	14	0.21
SEC23B	14	0.21
ATP5L	14	0.21
WWOX	14	0.21
NUDCD3	14	0.21
BUD31	14	0.21
SMARCC2	14	0.21
220352_x_at	14	0.21
SEC31A	14	0.21
200880_at	14	0.21
VEZF1	14	0.21
LEPROT	14	0.21
ZNF35	14	0.21
CKAP5	14	0.21
AUH	14	0.21
MYST3	14	0.21
MRPS18B	14	0.21
TOR1AIP1	14	0.21
KIAA0495	14	0.21
TYW1	14	0.21
SDCBP	14	0.21
NIPA2	14	0.21
MLF2	14	0.21
PPCS	14	0.21
PSMA3	14	0.21
MCCC1	14	0.21
COPZ1	14	0.21
DAAM1	14	0.21
200854_at	14	0.21
C19orf62	14	0.21
212625_at	14	0.21
TMEM8	14	0.21
DARS	14	0.21
XRCC2	14	0.21
MPV17	14	0.21
KAT2A	14	0.21
PSMB6	14	0.21
TCTA	14	0.21
215553_x_at	14	0.21
CYTH2	14	0.21
KIAA1012	14	0.21
SELT	14	0.21
RNF5P1	14	0.21
COX11	14	0.21
RHEB	14	0.21
TAF7	14	0.21
TJAP1	14	0.21
221155_x_at	14	0.21
YTHDC1	14	0.21
RAB1B	14	0.21
MAN1B1	14	0.21
78047_s_at	14	0.21
AGR2	13	0.19
CCL21	13	0.19
PLA2G2A	13	0.19
PDLIM3	13	0.19
POSTN	13	0.19
CFB	13	0.19
TAC1	13	0.19
KCNJ16	13	0.19
41160	13	0.19
BBOX1	13	0.19
SFRP4	13	0.19
AHNAK2	13	0.19
DPT	13	0.19
NRXN3	13	0.19
RIPK4	13	0.19
OSR2	13	0.19
FOLR1	13	0.19
GABRA5	13	0.19
KCNK1	13	0.19
202597_at	13	0.19
TUSC3	13	0.19
SDC2	13	0.19
RAI14	13	0.19
HOXC6	13	0.19
SORD	13	0.19
ST18	13	0.19
PRSS8	13	0.19
C1QA	13	0.19
RAPGEF4	13	0.19
HAPLN2	13	0.19
PDXK	13	0.19
MPZL2	13	0.19
SEMA5A	13	0.19
212845_at	13	0.19
EMP1	13	0.19
MICAL2	13	0.19
LYZ	13	0.19
ANGPTL2	13	0.19
NQO1	13	0.19
DLC1	13	0.19
TGFB1I1	13	0.19
AEBP1	13	0.19
PPP1R13L	13	0.19
RNASE4	13	0.19
KCNMA1	13	0.19
KLHL3	13	0.19
ALDH1L1	13	0.19
221874_at	13	0.19
DMD	13	0.19
WT1	13	0.19
KCNN2	13	0.19
PAK6	13	0.19
PDGFRL	13	0.19
C9orf61	13	0.19
ARHGAP29	13	0.19
SORT1	13	0.19
CRYL1	13	0.19
ASPA	13	0.19
TRIB1	13	0.19
GORASP1	13	0.19
CAT	13	0.19
COL4A5	13	0.19
MAP2	13	0.19
MPZL1	13	0.19
MANSC1	13	0.19
LHFPL2	13	0.19
ITPKA	13	0.19
214110_s_at	13	0.19
215014_at	13	0.19
PLA2G4C	13	0.19
PHYH	13	0.19
GRK5	13	0.19
SCCPDH	13	0.19
TSKU	13	0.19
AP2B1	13	0.19
213675_at	13	0.19
212979_s_at	13	0.19
CRIP1	13	0.19
216511_s_at	13	0.19
PLXNB3	13	0.19
COLEC12	13	0.19
RHBDF1	13	0.19
MAST4	13	0.19
SLC6A15	13	0.19
CD302	13	0.19
CKS1B	13	0.19
WDR47	13	0.19
SETBP1	13	0.19
IPO4	13	0.19
SEMA3G	13	0.19
EVI2A	13	0.19
CYP51A1	13	0.19
PIP5K1C	13	0.19
IPO5	13	0.19
NDUFS1	13	0.19
CD55	13	0.19
C17orf91	13	0.19
MAST2	13	0.19
TCTN2	13	0.19
YIPF2	13	0.19
POLB	13	0.19
R3HDM1	13	0.19
CDK5R2	13	0.19
MECP2	13	0.19
PLXND1	13	0.19
MTHFD1	13	0.19
ELF1	13	0.19
ACO1	13	0.19
221861_at	13	0.19
37590_g_at	13	0.19
FAM152A	13	0.19
UBE2S	13	0.19
MAGED2	13	0.19
BZRAP1	13	0.19
HDGFRP3	13	0.19
APOO	13	0.19
203245_s_at	13	0.19
RAP2B	13	0.19
APRT	13	0.19
ARPC5	13	0.19
PTK2B	13	0.19
HMGCR	13	0.19
IER5	13	0.19
FKBP1A	13	0.19
PECI	13	0.19
GMPS	13	0.19
PHB	13	0.19
PPP4R1	13	0.19
213734_at	13	0.19
SFXN1	13	0.19
DALRD3	13	0.19
NQO2	13	0.19
DNAJC15	13	0.19
FAM59A	13	0.19
FBXO21	13	0.19
212608_s_at	13	0.19
PTDSS1	13	0.19
C19orf10	13	0.19
FOLR2	13	0.19
KIAA0100	13	0.19
ZDHHC11	13	0.19
LSM3	13	0.19
DPY19L1	13	0.19
CEP170	13	0.19
GBAS	13	0.19
MYST2	13	0.19
PMS2L2	13	0.19
CCDC90A	13	0.19
ACVR1	13	0.19
COPS7A	13	0.19
JMJD2B	13	0.19
CC2D1A	13	0.19
DVL1	13	0.19
ARPC3	13	0.19
AKT3	13	0.19
RSU1	13	0.19
NIT2	13	0.19
COMMD9	13	0.19
FADS2	13	0.19
PRPF31	13	0.19
PANK2	13	0.19
215128_at	13	0.19
IFT57	13	0.19
AFFX-HUMRGE/M10098_3_at	13	0.19
SMARCE1	13	0.19
SNAP29	13	0.19
GTPBP3	13	0.19
C20orf43	13	0.19
213698_at	13	0.19
RCN2	13	0.19
GLUD2	13	0.19
212051_at	13	0.19
PPM1A	13	0.19
LTBP3	13	0.19
HSPE1	13	0.19
ACTR2	13	0.19
PAAF1	13	0.19
HSPH1	13	0.19
RPS27L	13	0.19
TTC19	13	0.19
210686_x_at	13	0.19
EIF1	13	0.19
LETMD1	13	0.19
HSPA5	13	0.19
201814_at	13	0.19
MFF	13	0.19
LASS6	13	0.19
DYRK1A	13	0.19
DGUOK	13	0.19
FDPS	13	0.19
PSMD1	13	0.19
BRE	13	0.19
217700_at	13	0.19
AUP1	13	0.19
ANXA7	13	0.19
PDCD6	13	0.19
ASB13	13	0.19
METTL5	13	0.19
FAM160B2	13	0.19
215978_x_at	13	0.19
STRA13	13	0.19
ARF1	13	0.19
KIAA1109	13	0.19
KCNH6	13	0.19
FBXL14	13	0.19
TRAP1	13	0.19
FXR2	13	0.19
MED16	13	0.19
VAPB	13	0.19
NUMA1	13	0.19
216858_x_at	13	0.19
213573_at	13	0.19
PSMC2	13	0.19
ARGLU1	13	0.19
ATF6	13	0.19
216859_x_at	13	0.19
221419_s_at	13	0.19
222104_x_at	13	0.19
SLC38A2	13	0.19
LOC644096	13	0.19
PRSS3	12	0.18
DES	12	0.18
ACTN2	12	0.18
217022_s_at	12	0.18
DEFB1	12	0.18
TMEM45A	12	0.18
ANPEP	12	0.18
TMCC2	12	0.18
COL5A2	12	0.18
PLS1	12	0.18
GPRC5A	12	0.18
LOXL1	12	0.18
CYP3A5	12	0.18
CALB1	12	0.18
LMCD1	12	0.18
TMEM176B	12	0.18
212444_at	12	0.18
MLF1	12	0.18
ALDH1A2	12	0.18
PTRF	12	0.18
PTGIS	12	0.18
216086_at	12	0.18
PAPSS2	12	0.18
G0S2	12	0.18
USP13	12	0.18
LRRC49	12	0.18
ATAD4	12	0.18
AQP4	12	0.18
EFNB3	12	0.18
IGSF3	12	0.18
C2CD2	12	0.18
IFI30	12	0.18
217187_at	12	0.18
SEZ6L2	12	0.18
RAB17	12	0.18
PSAT1	12	0.18
CLDN10	12	0.18
214903_at	12	0.18
RBM9	12	0.18
TOX3	12	0.18
SLCO1C1	12	0.18
CA4	12	0.18
GABRG2	12	0.18
FLJ10357	12	0.18
TGFBR3	12	0.18
BAIAP3	12	0.18
TCF7L1	12	0.18
SYT17	12	0.18
ALDH1B1	12	0.18
LEPR	12	0.18
KCTD2	12	0.18
DEPDC6	12	0.18
DFNA5	12	0.18
PIP5K1B	12	0.18
GJB1	12	0.18
ARHGAP6	12	0.18
PRKAR2B	12	0.18
CAMK1G	12	0.18
FYN	12	0.18
PXN	12	0.18
YAP1	12	0.18
ODZ4	12	0.18
KIF1A	12	0.18
C8orf4	12	0.18
RRBP1	12	0.18
COTL1	12	0.18
PLXNA1	12	0.18
SH3BGRL3	12	0.18
JARID1B	12	0.18
PPARGC1A	12	0.18
MAPK8IP3	12	0.18
KIAA0427	12	0.18
PCDH11Y	12	0.18
FRY	12	0.18
216037_x_at	12	0.18
SRPK2	12	0.18
HK2	12	0.18
222294_s_at	12	0.18
SEMA3F	12	0.18
PDGFA	12	0.18
C7orf23	12	0.18
PITX2	12	0.18
TPMT	12	0.18
SYNJ2	12	0.18
IDH3A	12	0.18
208185_x_at	12	0.18
ITPKB	12	0.18
KPNA2	12	0.18
STOML1	12	0.18
TRIM22	12	0.18
ZNF423	12	0.18
212609_s_at	12	0.18
FCGRT	12	0.18
HIPK2	12	0.18
PSMG1	12	0.18
DUSP8	12	0.18
DECR1	12	0.18
KLF6	12	0.18
PFKFB3	12	0.18
GAB2	12	0.18
SSR1	12	0.18
221773_at	12	0.18
RALB	12	0.18
221939_at	12	0.18
SMC1A	12	0.18
SH3GL1	12	0.18
TLE4	12	0.18
ETS2	12	0.18
PPT2	12	0.18
ANP32B	12	0.18
RRAGD	12	0.18
RNF44	12	0.18
NPC1	12	0.18
GARS	12	0.18
HNRNPA1	12	0.18
TPR	12	0.18
SAE1	12	0.18
BTN2A2	12	0.18
SNRNP25	12	0.18
CNIH4	12	0.18
SH3BP5	12	0.18
CHD1L	12	0.18
CIAPIN1	12	0.18
ADD1	12	0.18
NR1D1	12	0.18
RNF13	12	0.18
BCAP31	12	0.18
TULP3	12	0.18
DEK	12	0.18
VCY	12	0.18
SCAND1	12	0.18
FAM82B	12	0.18
ASB1	12	0.18
WIPF2	12	0.18
STRN4	12	0.18
221832_s_at	12	0.18
C9orf16	12	0.18
PGK1	12	0.18
BXDC5	12	0.18
ATP5I	12	0.18
208933_s_at	12	0.18
USP25	12	0.18
216051_x_at	12	0.18
RABEPK	12	0.18
FAM13B1	12	0.18
HDAC2	12	0.18
KIAA1797	12	0.18
AHR	12	0.18
LOC728635	12	0.18
FAM45A	12	0.18
MYCBP2	12	0.18
NDUFB11	12	0.18
214948_s_at	12	0.18
217695_x_at	12	0.18
TRAPPC3	12	0.18
CNOT1	12	0.18
SFRS11	12	0.18
BAZ1B	12	0.18
ANKHD1-EIF4EBP3	12	0.18
PMPCB	12	0.18
ARMCX3	12	0.18
214949_at	12	0.18
EPM2AIP1	12	0.18
HERPUD1	12	0.18
211768_at	12	0.18
PHLDB1	12	0.18
ACTL6A	12	0.18
EXOSC9	12	0.18
TRAF3IP2	12	0.18
CLPTM1	12	0.18
SERINC1	12	0.18
CETN2	12	0.18
FBXO3	12	0.18
CNIH	12	0.18
ARL6IP5	12	0.18
METAP1	12	0.18
ARF5	12	0.18
POLR2B	12	0.18
H6PD	12	0.18
GLG1	12	0.18
NSFL1C	12	0.18
UBE2E1	12	0.18
RBM42	12	0.18
SMAP1	12	0.18
SNRNP70	12	0.18
ZNF768	12	0.18
UBE3B	12	0.18
MGEA5	12	0.18
SPOP	12	0.18
COMMD8	12	0.18
EIF4ENIF1	12	0.18
213690_s_at	12	0.18
TMEM9B	12	0.18
DCTN3	12	0.18
PLD2	12	0.18
ZNF692	12	0.18
ANAPC13	12	0.18
KIAA0141	12	0.18
PPP2R5D	12	0.18
201734_at	12	0.18
216112_at	12	0.18
DCTN6	12	0.18
INPP5E	12	0.18
TMEM161A	12	0.18
220465_at	12	0.18
C7orf49	12	0.18
PPP1R11	12	0.18
202256_at	12	0.18
KRT14	11	0.16
WFDC2	11	0.16
DCX	11	0.16
CSTA	11	0.16
SATB2	11	0.16
MUC1	11	0.16
AZGP1	11	0.16
KDELR3	11	0.16
XK	11	0.16
PVALB	11	0.16
ANXA8	11	0.16
MSTP9	11	0.16
CCL15	11	0.16
209138_x_at	11	0.16
HMGCS2	11	0.16
KCNH2	11	0.16
COL5A1	11	0.16
MYH11	11	0.16
KLK11	11	0.16
KRT23	11	0.16
PRPH	11	0.16
AOC3	11	0.16
ITIH5	11	0.16
GPR116	11	0.16
TGM2	11	0.16
PKP3	11	0.16
IGFBP5	11	0.16
SPTBN1	11	0.16
FLNC	11	0.16
HEY1	11	0.16
TMEM35	11	0.16
CDC20	11	0.16
CYB5R2	11	0.16
ECM2	11	0.16
CTSL2	11	0.16
217541_x_at	11	0.16
EFEMP2	11	0.16
C1QB	11	0.16
EFNB2	11	0.16
LMOD1	11	0.16
COL9A3	11	0.16
DARC	11	0.16
FZD7	11	0.16
TCFL5	11	0.16
MFAP4	11	0.16
EVI1	11	0.16
LAMA4	11	0.16
SCN3A	11	0.16
RIT2	11	0.16
F2RL1	11	0.16
HSPB2	11	0.16
GPR126	11	0.16
CARD10	11	0.16
SCARA3	11	0.16
EPS8L2	11	0.16
C11orf75	11	0.16
RALGPS1	11	0.16
UGT8	11	0.16
NID2	11	0.16
214217_at	11	0.16
FAM125B	11	0.16
ARG2	11	0.16
ATP2B1	11	0.16
CCNB2	11	0.16
MYO5C	11	0.16
GGTLC1	11	0.16
GGTLC2	11	0.16
ITGA3	11	0.16
GATA4	11	0.16
POR	11	0.16
ACTL6B	11	0.16
LRRC50	11	0.16
PALLD	11	0.16
MOSC2	11	0.16
IGF2BP2	11	0.16
CTSK	11	0.16
DGKB	11	0.16
PRPS2	11	0.16
KIAA0368	11	0.16
SERPINB1	11	0.16
OLFML2A	11	0.16
GBP2	11	0.16
SLC30A5	11	0.16
CLASP2	11	0.16
ZNRF4	11	0.16
DPYSL4	11	0.16
BNC2	11	0.16
DCHS1	11	0.16
SDC3	11	0.16
OPLAH	11	0.16
217117_x_at	11	0.16
213572_s_at	11	0.16
TRIM36	11	0.16
GPRC5C	11	0.16
BDH1	11	0.16
216035_x_at	11	0.16
LRFN4	11	0.16
215182_x_at	11	0.16
215972_at	11	0.16
C14orf45	11	0.16
ETHE1	11	0.16
NT5E	11	0.16
MTHFD2	11	0.16
DZIP3	11	0.16
ABHD6	11	0.16
FZD6	11	0.16
HOXB2	11	0.16
GRB10	11	0.16
EMP3	11	0.16
IQGAP2	11	0.16
213052_at	11	0.16
FAM152B	11	0.16
C1orf114	11	0.16
LAMB2	11	0.16
CASKIN2	11	0.16
TOMM34	11	0.16
LTBP4	11	0.16
CLEC2B	11	0.16
CD164	11	0.16
204004_at	11	0.16
ACAA2	11	0.16
DNAJB2	11	0.16
CRYZ	11	0.16
CASK	11	0.16
NDUFB7	11	0.16
SIPA1L1	11	0.16
DNAH7	11	0.16
SPOCK3	11	0.16
EPB41L2	11	0.16
GSTZ1	11	0.16
PLSCR1	11	0.16
SPATA7	11	0.16
LPPR2	11	0.16
RANGRF	11	0.16
PAFAH1B1	11	0.16
203812_at	11	0.16
EBP	11	0.16
MCF2	11	0.16
GARNL4	11	0.16
RAB11FIP2	11	0.16
DDX18	11	0.16
216217_at	11	0.16
PDCD4	11	0.16
NUP88	11	0.16
SSBP3	11	0.16
SLC7A5	11	0.16
ZNF331	11	0.16
PSMF1	11	0.16
215057_at	11	0.16
213333_at	11	0.16
SLC38A1	11	0.16
EIF4G3	11	0.16
BTG2	11	0.16
POMGNT1	11	0.16
RGS2	11	0.16
KLF9	11	0.16
ZNF415	11	0.16
SH3GLB2	11	0.16
NUP93	11	0.16
CARHSP1	11	0.16
NFKBIA	11	0.16
TBC1D24	11	0.16
214257_s_at	11	0.16
AMIGO2	11	0.16
212907_at	11	0.16
SYNJ2BP	11	0.16
219186_at	11	0.16
METTL3	11	0.16
ATIC	11	0.16
AGTPBP1	11	0.16
RPS6KA5	11	0.16
LSM5	11	0.16
221727_at	11	0.16
CDC2L6	11	0.16
ROCK1	11	0.16
HCCS	11	0.16
CSNK1D	11	0.16
IGBP1	11	0.16
POP4	11	0.16
CEP68	11	0.16
RAB8A	11	0.16
PARP4	11	0.16
NCRNA00153	11	0.16
GARNL1	11	0.16
KCTD3	11	0.16
RFXANK	11	0.16
212981_s_at	11	0.16
NME1	11	0.16
OLFML2B	11	0.16
EIF4EBP2	11	0.16
KIF13B	11	0.16
204076_at	11	0.16
206323_x_at	11	0.16
UBAP2L	11	0.16
DPF2	11	0.16
GLTPD1	11	0.16
221834_at	11	0.16
PPIE	11	0.16
FAM32A	11	0.16
FAM134C	11	0.16
WDR6	11	0.16
ABCD3	11	0.16
TRIM28	11	0.16
KIAA0430	11	0.16
ZMAT3	11	0.16
CLASP1	11	0.16
MTMR4	11	0.16
ITGB1BP1	11	0.16
FAM35A	11	0.16
218754_at	11	0.16
FUZ	11	0.16
UCHL3	11	0.16
NDUFA8	11	0.16
C5orf15	11	0.16
222111_at	11	0.16
PSMA4	11	0.16
YEATS2	11	0.16
CLPP	11	0.16
MNT	11	0.16
C21orf59	11	0.16
215560_x_at	11	0.16
ITFG1	11	0.16
205726_at	11	0.16
WWP1	11	0.16
MAGT1	11	0.16
FAM8A1	11	0.16
TXNDC9	11	0.16
PABPN1	11	0.16
BCAP29	11	0.16
RABGAP1	11	0.16
TMEM165	11	0.16
212343_at	11	0.16
VPS13C	11	0.16
EIF2B1	11	0.16
CBARA1	11	0.16
C2CD2L	11	0.16
LY6E	11	0.16
CCDC21	11	0.16
DNAJC4	11	0.16
TPD52L2	11	0.16
UBE4A	11	0.16
FOXO4	11	0.16
EDF1	11	0.16
201330_at	11	0.16
PMPCA	11	0.16
CRK	11	0.16
213048_s_at	11	0.16
LAS1L	11	0.16
CNOT7	11	0.16
RAC1	11	0.16
HSD17B12	11	0.16
213203_at	11	0.16
BCKDHA	11	0.16
214657_s_at	11	0.16
ANKMY2	11	0.16
C11orf58	11	0.16
TRAPPC4	11	0.16
FMR1	11	0.16
NSL1	11	0.16
NEDD8	11	0.16
213605_s_at	11	0.16
TMBIM4	11	0.16
DBT	11	0.16
SNAPC3	11	0.16
221472_at	11	0.16
PLEKHJ1	11	0.16
MOBKL3	11	0.16
SDAD1	11	0.16
204842_x_at	11	0.16
PIGT	11	0.16
FUT7	11	0.16
HGS	11	0.16
ZNF76	11	0.16
C9orf6	11	0.16
S100A2	10	0.15
APOA1	10	0.15
MB	10	0.15
TRIM29	10	0.15
ANO3	10	0.15
S100P	10	0.15
LCN2	10	0.15
SERPINA1	10	0.15
LPL	10	0.15
TP63	10	0.15
HPGD	10	0.15
FHL1	10	0.15
